question	gold	predicted	correct	predicted probabilities
question 48	2	2	1	[7.9647463e-04 5.9974293e-04 9.9382001e-01 3.3723926e-03 1.4113085e-03]
question 49	0	0	1	[0.4538845  0.05702355 0.06893621 0.06657312 0.3535827 ]
question 50	3	3	1	[7.9210952e-02 6.1599480e-05 1.8349671e-03 6.6995060e-01 2.4894188e-01]
question 51	4	4	1	[2.8009131e-04 4.6194993e-05 4.8597110e-03 7.4534290e-03 9.8736066e-01]
question 52	1	1	1	[2.5085324e-06 9.9995828e-01 1.6224911e-05 1.6687169e-05 6.2987315e-06]
question 53	1	1	1	[2.5174709e-06 9.9950421e-01 1.2061887e-04 1.3031647e-05 3.5972282e-04]
question 54	4	4	1	[0.17657523 0.08751041 0.12205286 0.08343014 0.5304314 ]
question 55	3	3	1	[0.25277427 0.05228354 0.1436438  0.35451862 0.19677971]
question 56	1	1	1	[0.01837284 0.9655115  0.00190024 0.0077582  0.00645728]
question 57	2	2	1	[0.20010693 0.05849568 0.4375284  0.23667848 0.06719043]
question 58	1	3	0	[0.1150711  0.22877008 0.18044102 0.39094558 0.08477221]
question 59	1	1	1	[0.00525064 0.9322605  0.02866217 0.02029195 0.01353472]
question 60	0	0	1	[9.99292016e-01 4.14851005e-04 1.25765786e-04 1.02649195e-04 6.47379347e-05]
question 61	1	1	1	[5.9262387e-02 8.7060785e-01 6.7928486e-02 3.6260087e-04 1.8386570e-03]
question 62	0	0	1	[9.5889717e-01 1.4905686e-03 1.2988708e-04 6.2215455e-05 3.9420176e-02]
question 63	4	4	1	[0.07475432 0.20932882 0.19797404 0.09008136 0.42786145]
question 64	2	2	1	[0.00171508 0.13803764 0.81694406 0.01125943 0.0320437 ]
question 65	2	2	1	[7.70379302e-06 3.65154983e-06 9.99761760e-01 1.11704452e-04 1.15275834e-04]
question 66	2	0	0	[0.4798919  0.262334   0.11968588 0.11071874 0.02736949]
question 67	1	0	0	[0.5338724  0.34351683 0.0188426  0.0919195  0.01184868]
question 68	2	2	1	[0.16132066 0.20956354 0.46800333 0.12916912 0.03194328]
question 69	1	1	1	[0.12178888 0.8039682  0.02345681 0.03860625 0.01217991]
question 70	2	2	1	[0.02335702 0.04282065 0.8651021  0.02410647 0.04461373]
question 71	4	4	1	[0.04058965 0.01063898 0.00904602 0.10111592 0.83860946]
question 72	3	3	1	[0.0023805  0.00607085 0.0047796  0.97808015 0.00868886]
question 73	1	1	1	[0.00528286 0.9834223  0.00257113 0.00521328 0.00351045]
question 74	4	4	1	[0.02942654 0.01498526 0.11059581 0.04157998 0.8034124 ]
question 75	3	3	1	[0.00186777 0.00218911 0.00618958 0.988436   0.00131758]
question 76	1	1	1	[0.01388908 0.96886116 0.00750032 0.00254893 0.00720061]
question 77	4	0	0	[0.66767496 0.05731485 0.01055747 0.00779047 0.2566622 ]
question 78	0	1	0	[0.05487547 0.785309   0.0258434  0.12331552 0.01065674]
question 79	1	1	1	[0.16818823 0.24536125 0.22006546 0.19007249 0.17631254]
question 80	1	2	0	[0.01216473 0.2969017  0.67039555 0.00503208 0.01550597]
question 81	4	2	0	[0.04396673 0.00520395 0.86258    0.00171658 0.08653269]
question 82	0	0	1	[0.8971923  0.00335151 0.01151127 0.08527265 0.00267227]
question 83	1	0	0	[0.87528616 0.00521523 0.01910209 0.02095158 0.07944482]
question 84	4	0	0	[0.82050127 0.00929724 0.00833599 0.00302571 0.15883976]
question 85	2	2	1	[3.7217394e-01 6.8314970e-03 6.1678600e-01 3.8999736e-03 3.0849737e-04]
question 86	4	2	0	[0.12953879 0.11513425 0.4745544  0.11241178 0.16836071]
question 87	0	0	1	[0.92317665 0.01905701 0.01388431 0.01644395 0.02743813]
question 88	0	0	1	[0.47336638 0.06767836 0.35176724 0.02569952 0.08148852]
question 89	4	0	0	[0.35777593 0.00826558 0.01655388 0.35063043 0.26677427]
question 90	2	2	1	[1.66999816e-03 2.61046505e-03 9.95401502e-01 2.09006830e-04 1.09092456e-04]
question 91	1	1	1	[2.0590189e-04 7.7782309e-01 2.6075347e-04 2.2087608e-01 8.3409838e-04]
question 92	3	3	1	[0.02195062 0.02010336 0.01691079 0.9071425  0.03389273]
question 93	1	1	1	[0.00124678 0.60554457 0.00181093 0.00185368 0.38954392]
question 94	3	4	0	[0.15617403 0.16609263 0.1368576  0.13270916 0.40816656]
question 95	3	3	1	[0.00253845 0.00284938 0.00560173 0.9870913  0.00191914]
question 96	4	4	1	[0.00203418 0.04465556 0.0022572  0.04182689 0.9092262 ]
question 97	4	3	0	[0.04779182 0.08963095 0.03466103 0.76371044 0.06420572]
question 98	3	2	0	[9.8517738e-02 1.7541615e-04 4.6782035e-01 4.3331924e-01 1.6735867e-04]
question 99	4	4	1	[0.0078833  0.12532629 0.1273743  0.028078   0.7113381 ]
question 100	2	2	1	[1.0912080e-03 8.9967420e-04 9.8317671e-01 3.1301746e-04 1.4519473e-02]
question 101	4	4	1	[5.8887340e-04 6.9529444e-05 9.1039034e-04 5.3920228e-02 9.4451094e-01]
question 102	3	3	1	[1.1052297e-06 5.2587652e-06 6.7421706e-06 9.9998534e-01 1.5175634e-06]
question 103	0	0	1	[9.6563148e-01 9.1298502e-03 2.4765208e-02 3.3303371e-04 1.4030853e-04]
question 104	1	1	1	[6.8713381e-04 9.9627554e-01 7.7591528e-04 1.3804004e-03 8.8101375e-04]
question 105	4	4	1	[6.4278248e-04 2.5867933e-04 9.7601092e-04 4.1878328e-02 9.5624417e-01]
question 106	1	1	1	[3.5108184e-03 9.6659595e-01 1.0697889e-02 1.8343439e-02 8.5179805e-04]
question 107	2	2	1	[0.01785944 0.02660721 0.8512351  0.01915253 0.08514575]
question 108	2	1	0	[0.32315275 0.51382047 0.15416682 0.00444631 0.00441365]
question 109	3	3	1	[3.1847665e-03 1.6262215e-04 3.1275786e-03 9.9335784e-01 1.6717517e-04]
question 110	0	1	0	[4.8207086e-01 5.1588064e-01 1.5052421e-03 5.3084054e-04 1.2372364e-05]
question 111	3	3	1	[0.00136907 0.15135035 0.19083905 0.5848772  0.07156435]
question 112	0	0	1	[0.909623   0.00869751 0.04034806 0.04020279 0.00112864]
question 113	3	4	0	[0.04826063 0.00780024 0.06140546 0.23294514 0.6495886 ]
question 114	4	1	0	[0.11153831 0.62862337 0.0056291  0.03383269 0.22037655]
question 115	1	1	1	[0.01050894 0.93862414 0.00795187 0.03285206 0.010063  ]
question 116	3	3	1	[1.3593714e-01 6.0847602e-03 3.4515411e-03 8.5451442e-01 1.2092067e-05]
question 117	4	4	1	[0.00123672 0.01093777 0.00213253 0.00103495 0.984658  ]
question 118	1	1	1	[0.02105496 0.747875   0.1284561  0.09877984 0.00383401]
question 119	4	4	1	[6.7104161e-04 1.9372914e-03 7.0375517e-02 6.2319433e-04 9.2639297e-01]
question 120	2	2	1	[4.0849944e-05 8.4264109e-05 9.9782324e-01 5.6625086e-05 1.9950564e-03]
question 121	4	4	1	[2.4052766e-05 3.3000371e-05 1.3886967e-03 7.7042583e-05 9.9847716e-01]
question 122	2	2	1	[4.1707401e-05 2.4848565e-05 9.9969983e-01 1.6918848e-05 2.1678235e-04]
question 123	0	0	1	[0.7281258  0.03274255 0.04409234 0.0802409  0.11479845]
question 124	1	1	1	[8.7847066e-06 9.9455774e-01 2.1148331e-05 8.9777299e-05 5.3226356e-03]
question 125	1	1	1	[0.01147863 0.47049618 0.30323008 0.21391773 0.00087745]
question 126	2	2	1	[0.05542179 0.02885061 0.7704142  0.0151069  0.1302064 ]
question 127	2	2	1	[0.00314607 0.00471756 0.9627608  0.02344138 0.00593418]
question 128	3	3	1	[0.01466419 0.00214029 0.00968609 0.88150513 0.09200435]
question 129	3	1	0	[0.12504165 0.32361993 0.08642828 0.15495966 0.30995044]
question 130	3	3	1	[1.7239721e-03 2.9645700e-03 2.0948960e-03 9.9255639e-01 6.6019990e-04]
question 131	4	3	0	[0.15137593 0.02374924 0.01981783 0.5627901  0.24226691]
question 132	2	2	1	[6.0798679e-03 1.4668162e-04 9.9171317e-01 7.7950658e-04 1.2807354e-03]
question 133	2	2	1	[0.07788689 0.06262468 0.6340725  0.1910561  0.03435986]
question 134	0	0	1	[9.8452759e-01 7.0871348e-03 1.1313803e-03 6.7396351e-04 6.5799272e-03]
question 135	1	1	1	[0.01321368 0.666051   0.00183789 0.3038863  0.01501129]
question 136	4	4	1	[4.3714343e-05 8.9876039e-06 9.9198160e-06 3.3188048e-06 9.9993408e-01]
question 137	4	4	1	[4.7026289e-04 7.9992582e-04 6.8107975e-04 2.0058665e-03 9.9604285e-01]
question 138	2	2	1	[2.5699101e-04 3.9800074e-05 9.9960202e-01 7.1924020e-05 2.9212397e-05]
question 139	2	2	1	[0.01666559 0.1156356  0.71668136 0.07689827 0.0741192 ]
question 140	4	4	1	[7.9906444e-05 1.9997341e-04 2.5973574e-03 2.1459787e-01 7.8252488e-01]
question 141	3	3	1	[3.1062714e-03 1.9873280e-02 2.0417335e-04 9.7638875e-01 4.2747194e-04]
question 142	0	0	1	[9.89525914e-01 5.93465520e-05 1.48152885e-05 7.82843912e-04 9.61706322e-03]
question 143	2	2	1	[7.9752138e-04 5.0777878e-04 9.9682957e-01 1.1205598e-03 7.4460299e-04]
question 144	2	2	1	[8.2151689e-02 5.9664038e-05 8.8972616e-01 1.2032318e-02 1.6030112e-02]
question 145	2	4	0	[2.7163891e-05 7.4397807e-04 7.5415550e-03 5.2739397e-05 9.9163461e-01]
question 146	0	0	1	[9.8849535e-01 2.6576840e-03 1.3766940e-03 7.2486545e-03 2.2154370e-04]
question 147	3	3	1	[0.00971928 0.12508169 0.00199272 0.8565692  0.00663715]
question 148	0	0	1	[9.9490130e-01 2.4524813e-03 2.9348312e-05 4.8854138e-04 2.1284211e-03]
question 149	3	3	1	[5.2534564e-05 1.6975784e-03 1.6408888e-04 9.9803060e-01 5.5206907e-05]
question 150	2	2	1	[2.0554604e-05 1.6192137e-03 9.9771237e-01 1.7040470e-04 4.7744034e-04]
question 151	1	1	1	[5.2746129e-03 9.8720855e-01 1.1950670e-03 5.3528626e-03 9.6889405e-04]
question 152	0	0	1	[0.7848909  0.01419761 0.09840941 0.03135726 0.07114487]
question 153	0	0	1	[9.23669934e-01 3.59644291e-05 3.43984808e-04 7.58368000e-02 1.13241746e-04]
question 154	3	3	1	[0.01263798 0.00378411 0.0172714  0.94013685 0.02616959]
question 155	0	0	1	[9.9679059e-01 1.9816174e-03 3.6534001e-04 5.6836155e-04 2.9397555e-04]
question 156	3	3	1	[0.07542433 0.0908144  0.07924154 0.68997186 0.0645479 ]
question 157	3	3	1	[7.6355366e-04 1.0161378e-05 2.9440409e-05 9.1356790e-01 8.5628942e-02]
question 158	0	0	1	[0.6220118  0.31068918 0.03689104 0.01106383 0.01934415]
question 159	2	2	1	[0.27093604 0.0363584  0.3917726  0.04360938 0.25732362]
question 160	3	3	1	[2.7801769e-02 2.7534889e-02 3.5925701e-04 9.3311578e-01 1.1188332e-02]
question 161	3	3	1	[2.9429076e-02 8.9505687e-02 1.0869958e-02 8.7019116e-01 4.1880053e-06]
question 162	0	0	1	[9.9766856e-01 1.0288858e-03 3.2295709e-04 8.8114449e-04 9.8520868e-05]
question 163	3	3	1	[2.1439645e-02 9.6205892e-03 4.8390353e-05 9.6888721e-01 4.2128740e-06]
question 164	1	1	1	[0.02444932 0.48011896 0.03827598 0.36078185 0.09637383]
question 165	3	3	1	[0.02072423 0.11798755 0.12771969 0.6628007  0.07076778]
question 166	0	0	1	[0.70450264 0.05934466 0.05590425 0.04040578 0.13984267]
question 167	1	1	1	[0.01076062 0.97658545 0.00180933 0.00915962 0.00168487]
question 168	2	2	1	[0.11961646 0.00125204 0.48730966 0.323554   0.06826787]
question 169	2	2	1	[2.1651762e-03 9.9093036e-04 9.9391693e-01 1.4445366e-03 1.4824346e-03]
question 170	2	2	1	[5.1469952e-03 1.0128594e-03 9.9352866e-01 2.4326009e-04 6.8243986e-05]
question 171	0	0	1	[0.73207355 0.00205144 0.076639   0.15952936 0.02970668]
question 172	1	1	1	[0.02766419 0.85919476 0.01542801 0.01613708 0.08157591]
question 173	2	0	0	[0.3352838  0.10479539 0.33409128 0.12280273 0.10302681]
question 174	0	0	1	[9.8371255e-01 5.3686858e-03 9.2559896e-04 7.2993934e-03 2.6937916e-03]
question 175	1	1	1	[5.0948904e-05 9.9885631e-01 3.7534078e-06 9.2558027e-04 1.6333965e-04]
question 176	0	0	1	[0.8876599  0.04220839 0.03804159 0.01834415 0.0137459 ]
question 177	2	2	1	[0.0114378  0.00336223 0.8687383  0.00825378 0.10820793]
question 178	0	0	1	[9.6524054e-01 3.3963669e-02 4.8737634e-06 2.3326772e-06 7.8871031e-04]
question 179	3	3	1	[0.04792629 0.01676939 0.06753125 0.8029945  0.06477848]
question 180	4	4	1	[3.8363709e-04 2.7245523e-02 4.7884052e-05 6.0777849e-04 9.7171515e-01]
question 181	4	4	1	[0.07988493 0.03094981 0.20908451 0.00271173 0.67736906]
question 182	1	3	0	[0.18382147 0.25059313 0.04943141 0.50141585 0.01473818]
question 183	4	4	1	[0.0025038  0.04432231 0.00691687 0.03811222 0.9081448 ]
question 184	1	1	1	[4.4102321e-06 9.9995589e-01 7.8432540e-06 3.6629813e-06 2.8158176e-05]
question 185	0	0	1	[0.9700408  0.00716041 0.0054658  0.00333999 0.01399297]
question 186	2	2	1	[0.0028955  0.00416127 0.98797995 0.00246131 0.00250198]
question 187	4	4	1	[0.1130034  0.14905487 0.00748523 0.00421674 0.72623974]
question 188	2	2	1	[5.9659649e-02 8.3470762e-02 8.4902054e-01 7.3832520e-03 4.6591301e-04]
question 189	1	1	1	[0.22981049 0.615072   0.03877191 0.0742455  0.04210015]
question 190	4	4	1	[0.04372553 0.0096272  0.00390024 0.03808936 0.90465766]
question 191	1	1	1	[3.3732327e-03 9.9483430e-01 3.9007023e-04 1.0418890e-03 3.6056203e-04]
question 192	4	2	0	[0.04938798 0.01098463 0.3963516  0.15707202 0.38620383]
question 193	3	3	1	[1.8410351e-04 3.7074223e-04 2.4497078e-04 9.9861848e-01 5.8168819e-04]
question 194	4	4	1	[0.00987732 0.00533636 0.11256158 0.0497386  0.8224861 ]
question 195	3	3	1	[0.01038007 0.01409413 0.05564451 0.8140117  0.10586958]
question 196	3	3	1	[0.13612773 0.3451454  0.04129288 0.44033593 0.03709811]
question 197	1	1	1	[1.5662223e-04 9.9964917e-01 4.9040413e-05 1.1373882e-04 3.1416497e-05]
question 198	2	2	1	[0.09732452 0.0268812  0.45688626 0.02202038 0.39688766]
question 199	3	3	1	[6.9217227e-04 4.8304770e-02 3.9194375e-03 8.1831878e-01 1.2876484e-01]
question 200	1	1	1	[4.7313688e-06 9.9975997e-01 1.5571600e-04 6.8147667e-05 1.1357782e-05]
question 201	2	2	1	[3.9995849e-04 1.3982444e-01 7.4920380e-01 1.0800136e-01 2.5705199e-03]
question 202	2	2	1	[0.01519071 0.00437644 0.9506595  0.00374931 0.02602402]
question 203	3	3	1	[2.83375960e-02 2.57559633e-03 1.15661025e-02 9.56633151e-01 8.87570786e-04]
question 204	0	3	0	[0.22120395 0.2515621  0.02433684 0.48576823 0.0171289 ]
question 205	1	1	1	[3.2519181e-03 9.9609911e-01 2.9818504e-04 9.1685863e-05 2.5912374e-04]
question 206	1	4	0	[0.00855594 0.29676586 0.03146348 0.11682529 0.54638946]
question 207	0	0	1	[0.9057295  0.00906725 0.02858385 0.04968756 0.00693198]
question 208	3	3	1	[3.0499059e-04 1.7276950e-03 3.7793701e-03 9.6939641e-01 2.4791595e-02]
question 209	2	1	0	[0.00185988 0.7739409  0.15146138 0.06945643 0.00328134]
question 210	2	2	1	[0.04262416 0.03709524 0.8207816  0.04514052 0.05435843]
question 211	0	0	1	[9.894169e-01 8.627736e-06 7.849505e-05 3.180504e-03 7.315456e-03]
question 212	2	0	0	[0.53489095 0.06021707 0.29874882 0.02825711 0.07788602]
question 213	2	4	0	[0.06777909 0.01513571 0.21887696 0.2843626  0.4138457 ]
question 214	2	2	1	[2.5332376e-01 2.2773268e-03 7.2577643e-01 6.1952171e-04 1.8002927e-02]
question 215	0	4	0	[0.06846798 0.03896644 0.20631558 0.03982562 0.6464244 ]
question 216	0	0	1	[0.51555276 0.31617853 0.04296672 0.02644859 0.09885348]
question 217	0	0	1	[0.8736995  0.01326906 0.07102923 0.02846313 0.01353903]
question 218	0	0	1	[0.87508976 0.00232988 0.10845915 0.01163514 0.00248614]
question 219	1	1	1	[1.9836918e-04 9.9946076e-01 9.4613948e-05 1.8164083e-04 6.4623266e-05]
question 220	2	4	0	[0.00776925 0.00173953 0.07752737 0.04000911 0.8729547 ]
question 221	0	1	0	[8.8642173e-02 6.0273695e-01 2.9379639e-01 3.7184058e-04 1.4452632e-02]
question 222	1	0	0	[0.38331625 0.15400833 0.35805953 0.02176866 0.08284728]
question 223	4	4	1	[2.6861823e-04 8.3815656e-04 4.7986470e-03 1.7727004e-02 9.7636753e-01]
question 224	2	2	1	[2.1522446e-06 7.2146948e-05 9.9896538e-01 4.4627923e-06 9.5590763e-04]
question 225	4	2	0	[0.25264552 0.00821947 0.63608456 0.0122203  0.0908301 ]
question 226	0	0	1	[9.9999452e-01 8.5172638e-07 1.8181722e-06 1.7825517e-06 1.0192274e-06]
question 227	1	1	1	[2.9864516e-03 9.9674219e-01 1.8290771e-04 3.1327054e-05 5.7140889e-05]
question 228	1	3	0	[0.02163572 0.00443328 0.00336185 0.9693794  0.00118982]
question 229	2	1	0	[1.8002624e-03 9.8879504e-01 6.2062838e-03 3.0998720e-03 9.8494660e-05]
question 230	2	2	1	[0.01739379 0.002588   0.95937717 0.00160819 0.01903273]
question 231	1	1	1	[1.2896123e-03 9.9813449e-01 7.1812472e-05 2.7349312e-04 2.3049151e-04]
question 232	4	4	1	[6.2570740e-05 6.2584651e-05 6.0334074e-05 1.3993946e-05 9.9980050e-01]
question 233	4	4	1	[2.4374126e-04 2.1346881e-05 8.3517652e-06 1.3167496e-05 9.9971336e-01]
question 234	2	2	1	[2.4992044e-03 5.2026700e-04 9.9060994e-01 5.6000212e-03 7.7055790e-04]
question 235	4	4	1	[1.7552570e-04 6.3309708e-04 6.8785902e-03 6.5171160e-03 9.8579574e-01]
question 236	2	2	1	[0.24216738 0.15612441 0.40997058 0.13205485 0.05968279]
question 237	0	0	1	[0.76208866 0.19093497 0.02712233 0.01329963 0.00655442]
question 238	0	1	0	[0.33754712 0.5181523  0.12817834 0.00693969 0.00918255]
question 239	4	3	0	[0.06179628 0.05263487 0.11912501 0.44502234 0.32142153]
question 240	1	1	1	[0.03176398 0.7214214  0.04364933 0.193672   0.00949327]
question 241	0	0	1	[0.729892   0.01348247 0.0753106  0.06640791 0.11490712]
question 242	2	2	1	[0.007572   0.01219604 0.4922955  0.4050282  0.08290832]
question 243	1	1	1	[0.07462242 0.7121554  0.01299585 0.01473788 0.18548839]
question 244	2	0	0	[8.6374933e-01 5.3720071e-04 1.3244149e-01 2.4438528e-03 8.2821021e-04]
question 245	2	2	1	[4.328471e-03 1.609157e-02 9.689460e-01 9.781953e-03 8.519652e-04]
question 246	4	4	1	[0.2062012  0.0160071  0.06773204 0.01329136 0.69676834]
question 247	2	2	1	[2.4488260e-04 6.3943100e-04 9.9863428e-01 4.7492242e-04 6.5562485e-06]
question 248	3	3	1	[5.7758298e-05 3.5361972e-01 1.2333645e-03 6.3541108e-01 9.6781123e-03]
question 249	0	0	1	[9.9528968e-01 4.3324418e-03 1.2086070e-04 1.7112838e-04 8.5884465e-05]
question 250	0	2	0	[0.11419029 0.01252079 0.84303033 0.00889587 0.0213627 ]
question 251	0	0	1	[9.1199613e-01 2.7640989e-02 6.4723298e-04 5.8993526e-02 7.2209840e-04]
question 252	2	1	0	[0.01027368 0.5210031  0.41993713 0.01197796 0.03680808]
question 253	0	0	1	[0.7167317  0.05051852 0.10453752 0.08134227 0.04687   ]
question 254	1	1	1	[0.05106293 0.59599406 0.29311067 0.05092409 0.00890822]
question 255	1	1	1	[1.6931412e-05 9.9959248e-01 3.5155012e-04 2.5835177e-05 1.3273519e-05]
question 256	1	1	1	[0.00174176 0.98950547 0.00105029 0.00258243 0.00512004]
question 257	0	0	1	[8.3199322e-01 1.1038976e-01 1.2680308e-04 3.2190299e-03 5.4271217e-02]
question 258	0	4	0	[0.39699546 0.01034528 0.1815501  0.00069264 0.4104165 ]
question 259	1	1	1	[3.7804697e-04 9.3749070e-01 6.0008327e-03 5.6090370e-02 3.9983384e-05]
question 260	0	0	1	[9.7757226e-01 1.7540423e-04 1.1997997e-02 5.6763077e-03 4.5779911e-03]
question 261	1	1	1	[2.6674243e-04 9.6991098e-01 5.6398544e-04 9.6192760e-03 1.9638956e-02]
question 262	4	0	0	[0.38427332 0.10928015 0.00073533 0.23489307 0.27081823]
question 263	0	0	1	[9.7920907e-01 4.5425279e-04 1.5973277e-02 5.8348046e-04 3.7798162e-03]
question 264	2	2	1	[3.8055196e-02 4.2489584e-04 8.8669020e-01 4.6399949e-04 7.4365720e-02]
question 265	0	0	1	[0.943986   0.00449482 0.00360543 0.00387493 0.04403883]
question 266	3	3	1	[0.00134135 0.00262747 0.21137628 0.7823478  0.00230704]
question 267	2	2	1	[9.8786177e-03 5.9741450e-04 9.8442775e-01 7.8276114e-04 4.3135723e-03]
question 268	3	4	0	[0.00204219 0.02837069 0.01248845 0.23923312 0.7178656 ]
question 269	2	2	1	[1.6516063e-04 1.7243383e-03 9.3253934e-01 6.3868232e-02 1.7030193e-03]
question 270	0	1	0	[1.6715912e-02 9.6272963e-01 1.6277995e-02 4.0787729e-03 1.9764913e-04]
question 271	2	3	0	[0.06168947 0.01979276 0.02053872 0.8460744  0.05190469]
question 272	2	2	1	[0.06123975 0.02793084 0.5989343  0.09696811 0.21492694]
question 273	1	1	1	[2.0999620e-04 8.3726764e-01 1.3410246e-01 1.2562728e-02 1.5857272e-02]
question 274	0	0	1	[9.2568636e-01 7.2621889e-03 1.7269836e-04 3.9648138e-02 2.7230626e-02]
question 275	3	3	1	[0.00861227 0.00756051 0.00639652 0.9750152  0.00241554]
question 276	2	2	1	[1.7486576e-03 1.8330871e-01 8.1466264e-01 7.4399461e-05 2.0558028e-04]
question 277	0	0	1	[0.70048976 0.03643572 0.11634815 0.07416809 0.07255822]
question 278	0	0	1	[8.0873197e-01 3.1817844e-03 5.5902288e-05 4.4365635e-05 1.8798597e-01]
question 279	3	3	1	[0.10778591 0.02693662 0.09674488 0.68886304 0.07966961]
question 280	4	4	1	[1.0084157e-06 2.1958011e-01 2.2501934e-05 9.8829132e-06 7.8038645e-01]
question 281	3	3	1	[2.9097323e-04 2.7687480e-03 3.4944220e-03 9.3375051e-01 5.9695378e-02]
question 282	4	2	0	[0.03573149 0.0033832  0.6789168  0.01760744 0.26436102]
question 283	4	4	1	[4.6613165e-03 3.7648328e-04 2.8692982e-03 5.5327982e-04 9.9153966e-01]
question 284	2	2	1	[0.00501218 0.00507639 0.94754314 0.02208499 0.02028328]
