question	gold	predicted	correct	predicted probabilities
question 67	1	0	0	[5.2947176e-01 4.6622968e-01 1.5980924e-03 2.2546216e-03 4.4586495e-04]
question 68	2	2	1	[0.06299348 0.07404431 0.75551456 0.08204905 0.02539856]
question 69	1	1	1	[0.03731643 0.9086248  0.02288462 0.02201124 0.00916278]
question 70	2	2	1	[0.02127821 0.04207794 0.5933273  0.0210763  0.3222403 ]
question 71	4	3	0	[0.05449692 0.02482935 0.09428255 0.6180852  0.20830601]
question 72	3	3	1	[0.1544196  0.0318184  0.0569153  0.7074202  0.04942663]
question 73	1	1	1	[1.2687641e-03 9.9653000e-01 6.2189635e-04 7.2860380e-04 8.5076393e-04]
question 74	4	4	1	[0.17255601 0.05395189 0.04114977 0.09083152 0.64151084]
question 75	3	3	1	[1.8586201e-05 5.5463970e-05 3.9804992e-05 9.9987710e-01 9.0453550e-06]
question 76	1	1	1	[1.4116652e-03 9.8342359e-01 1.3323185e-02 1.5816196e-03 2.5987980e-04]
question 77	4	0	0	[0.82259196 0.05592073 0.05100539 0.05550331 0.01497855]
question 78	0	1	0	[0.00972708 0.9604467  0.00980466 0.01306486 0.00695664]
question 79	1	1	1	[0.05511758 0.3780741  0.14475974 0.33652657 0.08552195]
question 80	1	2	0	[0.01703735 0.03805491 0.9198036  0.00919892 0.01590525]
question 81	4	4	1	[0.05091375 0.01615345 0.08318345 0.08241758 0.76733184]
question 82	0	0	1	[0.75424767 0.0111089  0.00462329 0.22587919 0.00414108]
question 83	1	0	0	[0.9349284  0.00145852 0.03926612 0.00991077 0.01443604]
question 84	4	0	0	[0.45683375 0.05967085 0.18523134 0.06320658 0.23505753]
question 85	2	2	1	[0.26490808 0.05656052 0.4308874  0.02923672 0.2184073 ]
question 86	4	3	0	[0.11797662 0.12412389 0.22712578 0.2785469  0.25222683]
question 87	0	0	1	[0.54825085 0.09874985 0.03635019 0.05109167 0.26555753]
question 88	0	4	0	[0.03131431 0.03442784 0.02936758 0.02547578 0.8794145 ]
question 89	4	3	0	[0.05236284 0.20880245 0.10073182 0.6051481  0.03295482]
question 90	2	2	1	[0.02094172 0.05844473 0.7594182  0.04994935 0.111246  ]
question 91	1	1	1	[4.5554922e-04 9.5953059e-01 8.4283818e-03 2.6734497e-02 4.8509273e-03]
question 92	3	3	1	[0.06661157 0.06280906 0.04454921 0.7747449  0.05128522]
question 93	1	1	1	[0.00055792 0.5197359  0.00127122 0.00193977 0.4764952 ]
question 94	3	3	1	[0.08566892 0.09857496 0.21280466 0.5229831  0.07996837]
question 95	3	3	1	[0.02682308 0.02047183 0.07914894 0.85192513 0.02163102]
question 96	4	4	1	[0.01548661 0.06076125 0.07656368 0.24394906 0.6032395 ]
question 97	4	3	0	[0.07297426 0.09425914 0.07621181 0.64765614 0.10889862]
question 98	3	2	0	[2.6555747e-01 8.0031350e-05 3.9267221e-01 3.4157574e-01 1.1461328e-04]
question 99	4	4	1	[0.00586776 0.1355098  0.09367486 0.08207095 0.68287665]
question 100	2	2	1	[0.07138    0.00204489 0.89739347 0.00121082 0.02797094]
question 101	4	4	1	[0.00268333 0.00145941 0.00254879 0.16494082 0.8283677 ]
question 102	3	3	1	[2.5098041e-06 3.3227614e-05 8.9438836e-06 9.9995208e-01 3.2327332e-06]
question 103	0	0	1	[9.2055947e-01 6.3633001e-03 7.2696306e-02 3.1585028e-04 6.5104912e-05]
question 104	1	1	1	[5.6612043e-04 9.9085146e-01 6.2707672e-03 1.2634252e-03 1.0481933e-03]
question 105	4	4	1	[9.0978145e-05 1.3773851e-04 1.1030130e-04 5.8623473e-04 9.9907470e-01]
question 106	1	1	1	[7.6731236e-04 9.6926326e-01 4.6672146e-03 2.4475701e-02 8.2651392e-04]
question 107	2	2	1	[0.05959061 0.04984309 0.825029   0.01252643 0.05301087]
question 108	2	2	1	[0.16339488 0.13086417 0.6913421  0.00417506 0.01022383]
question 109	3	3	1	[1.1310209e-02 6.0892449e-04 1.8756052e-03 9.8561805e-01 5.8720191e-04]
question 110	0	1	0	[4.5429739e-01 5.0783062e-01 2.0370303e-02 1.7221119e-02 2.8052929e-04]
question 111	3	3	1	[0.00081615 0.23955409 0.04081686 0.48543027 0.2333826 ]
question 112	0	0	1	[0.7497301  0.0594399  0.10073572 0.05416834 0.03592597]
question 113	3	3	1	[0.00472827 0.00587139 0.1411398  0.62795174 0.22030881]
question 114	4	0	0	[0.40077773 0.21094537 0.0067725  0.00425026 0.37725422]
question 115	1	1	1	[0.11535889 0.5213497  0.20989607 0.09044542 0.06294987]
question 116	3	1	0	[0.27401313 0.5667446  0.008509   0.14763138 0.00310184]
question 117	4	4	1	[7.1340543e-04 3.8433457e-03 6.6407155e-03 3.1106439e-04 9.8849142e-01]
question 118	1	2	0	[0.09555431 0.38464662 0.4958384  0.02154454 0.00241611]
question 119	4	4	1	[0.00184812 0.02693423 0.06740422 0.00146041 0.902353  ]
question 120	2	2	1	[3.4875373e-04 2.9756384e-02 9.2040271e-01 3.3931914e-04 4.9152855e-02]
question 121	4	4	1	[4.8465980e-04 7.6260571e-03 1.0789763e-02 1.6454761e-03 9.7945410e-01]
question 122	2	2	1	[4.5041223e-05 1.3766890e-04 9.9955207e-01 6.2612431e-05 2.0270242e-04]
question 123	0	0	1	[0.9243981  0.01250238 0.02965094 0.02358805 0.00986051]
question 124	1	1	1	[1.0997130e-04 9.8044741e-01 1.3374664e-03 1.3712182e-03 1.6733974e-02]
question 125	1	1	1	[8.6580710e-03 5.6715834e-01 7.2799258e-02 3.5134193e-01 4.2365926e-05]
question 126	2	2	1	[0.0249096  0.103755   0.7746022  0.05103403 0.04569916]
question 127	2	2	1	[0.02981909 0.01311894 0.91777635 0.02761241 0.01167319]
question 128	3	4	0	[0.0256421  0.00861884 0.0084601  0.43564942 0.5216295 ]
question 129	3	2	0	[0.18033503 0.21882099 0.25268662 0.13677017 0.21138716]
question 130	3	3	1	[0.00888855 0.01278173 0.00750858 0.96497136 0.00584985]
question 131	4	3	0	[0.01471568 0.02862509 0.00965386 0.8339007  0.11310468]
question 132	2	2	1	[0.0032964  0.00428687 0.9825068  0.00535171 0.00455817]
question 133	2	2	1	[0.02451356 0.02627458 0.5911511  0.32444915 0.0336116 ]
question 134	0	0	1	[0.8665816  0.052753   0.0131999  0.01010599 0.05735942]
question 135	1	1	1	[0.03543758 0.90837795 0.00114011 0.05074635 0.00429806]
question 136	4	4	1	[2.3179982e-05 1.7114782e-05 5.5532569e-06 2.9831021e-06 9.9995112e-01]
question 137	4	4	1	[0.0035499  0.00287024 0.00118145 0.00401497 0.9883835 ]
question 138	2	2	1	[0.00203864 0.00321737 0.9901158  0.00138901 0.00323914]
question 139	2	2	1	[0.0102472  0.36309114 0.5272843  0.0633048  0.03607252]
question 140	4	4	1	[0.00548004 0.00199409 0.00356958 0.04120421 0.9477521 ]
question 141	3	3	1	[6.4866147e-03 7.0508167e-02 2.9262551e-04 9.2254871e-01 1.6390825e-04]
question 142	0	0	1	[9.4285625e-01 1.9167931e-03 8.3998835e-04 5.1502874e-03 4.9236570e-02]
question 143	2	2	1	[2.4089823e-02 8.8307576e-04 9.6403509e-01 7.9334080e-03 3.0586624e-03]
question 144	2	2	1	[1.6318515e-02 2.1359419e-04 9.6367979e-01 6.1844424e-03 1.3603690e-02]
question 145	2	4	0	[3.2312961e-04 1.6002646e-03 1.2564786e-01 7.8405975e-04 8.7164468e-01]
question 146	0	0	1	[9.9439806e-01 1.6253843e-03 1.9256760e-03 1.8481950e-03 2.0255212e-04]
question 147	3	3	1	[0.00858939 0.03380128 0.01694805 0.9282967  0.01236456]
question 148	0	0	1	[9.9818170e-01 7.3439645e-04 7.3359424e-06 3.5651642e-04 7.2007341e-04]
question 149	3	3	1	[1.1249118e-03 6.6203848e-02 6.9313264e-04 9.2884713e-01 3.1309121e-03]
question 150	2	2	1	[5.5947364e-04 1.0115963e-02 9.8770869e-01 8.4860326e-04 7.6728669e-04]
question 151	1	1	1	[7.4630561e-03 9.8305225e-01 6.6343707e-04 7.7929450e-03 1.0283829e-03]
question 152	0	0	1	[0.91954124 0.00180079 0.04224048 0.00195032 0.03446715]
question 153	0	0	1	[9.2833596e-01 6.2488444e-04 2.7850116e-04 7.0612989e-02 1.4760815e-04]
question 154	3	3	1	[0.311349   0.06052467 0.01535309 0.51115143 0.1016218 ]
question 155	0	0	1	[0.83523047 0.11733966 0.01909474 0.00479554 0.02353959]
question 156	3	3	1	[0.0097119  0.29012653 0.01237342 0.6790346  0.00875353]
question 157	3	3	1	[4.3532069e-04 2.6916852e-04 1.7791369e-03 8.6585552e-01 1.3166085e-01]
question 158	0	0	1	[0.46504036 0.21607597 0.01943089 0.1704024  0.12905043]
question 159	2	0	0	[0.59449613 0.09558351 0.13864514 0.10711388 0.06416136]
question 160	3	3	1	[2.5434354e-02 2.3030281e-02 4.2079220e-05 9.3338144e-01 1.8111780e-02]
question 161	3	3	1	[3.9628195e-03 3.3587378e-02 2.7069118e-02 9.3513000e-01 2.5066265e-04]
question 162	0	0	1	[0.9895494  0.00492354 0.00160758 0.00281562 0.00110387]
question 163	3	3	1	[3.2514507e-01 1.1973706e-01 1.6348300e-04 5.5404544e-01 9.0894935e-04]
question 164	1	4	0	[0.01061462 0.03656962 0.04184251 0.07191775 0.8390555 ]
question 165	3	1	0	[0.07592058 0.44898617 0.15520579 0.25847647 0.06141094]
question 166	0	0	1	[0.6046198  0.01425832 0.08353595 0.04085172 0.2567342 ]
question 167	1	1	1	[0.0205748  0.9453689  0.00423068 0.01421437 0.01561118]
question 168	2	2	1	[0.22801243 0.00575922 0.3192648  0.20204492 0.24491864]
question 169	2	2	1	[5.2579079e-04 1.0659139e-03 9.9709690e-01 9.9952845e-04 3.1186253e-04]
question 170	2	2	1	[0.02305287 0.08827431 0.86381155 0.01550644 0.00935491]
question 171	0	0	1	[0.7014536  0.0031985  0.01911992 0.27412045 0.00210758]
question 172	1	3	0	[0.01623213 0.24105586 0.22978762 0.4965117  0.01641276]
question 173	2	2	1	[0.20207876 0.281805   0.33645535 0.1266435  0.05301739]
question 174	0	0	1	[0.92687917 0.01306191 0.00106959 0.04654105 0.01244831]
question 175	1	1	1	[0.00319659 0.9873581  0.00273532 0.00214337 0.00456668]
question 176	0	0	1	[9.8254871e-01 2.5026891e-03 2.1982684e-03 1.1770328e-02 9.7999955e-04]
question 177	2	2	1	[0.00336674 0.04355011 0.83248174 0.0929104  0.02769098]
question 178	0	0	1	[9.7900611e-01 1.3574199e-02 2.1106737e-04 1.1048771e-04 7.0982194e-03]
question 179	3	3	1	[0.09806414 0.08116429 0.15078361 0.34810275 0.3218852 ]
question 180	4	4	1	[0.06378505 0.17056459 0.00491721 0.0098327  0.7509004 ]
question 181	4	1	0	[0.0405788  0.6064894  0.14068408 0.01425005 0.19799764]
question 182	1	0	0	[0.55630606 0.14866853 0.07605379 0.21647683 0.00249475]
question 183	4	4	1	[0.02902792 0.18834242 0.06425072 0.13164158 0.58673733]
question 184	1	1	1	[6.8388828e-05 9.9969339e-01 4.2796106e-05 2.2238773e-05 1.7310484e-04]
question 185	0	0	1	[0.95565665 0.00675828 0.0147374  0.00822773 0.01462001]
question 186	2	2	1	[5.9401873e-04 3.6015593e-02 9.4137007e-01 9.5005700e-04 2.1070205e-02]
question 187	4	4	1	[5.1699663e-03 7.0535517e-03 9.6912606e-04 1.0251061e-03 9.8578227e-01]
question 188	2	2	1	[0.38455433 0.11552957 0.4055782  0.0842158  0.01012212]
question 189	1	1	1	[0.23325656 0.6752548  0.01944846 0.01952958 0.05251065]
question 190	4	4	1	[0.32560727 0.05781005 0.02425468 0.07313515 0.5191928 ]
question 191	1	1	1	[1.3604170e-03 9.9819273e-01 1.6588182e-04 2.0262878e-04 7.8247329e-05]
question 192	4	4	1	[0.03282277 0.00929789 0.18673915 0.0268923  0.7442479 ]
question 193	3	3	1	[0.00211837 0.00251691 0.00197642 0.98943603 0.00395225]
question 194	4	4	1	[0.01045507 0.00501322 0.01157448 0.0153563  0.9576009 ]
question 195	3	3	1	[0.02284681 0.02518755 0.03415195 0.74332273 0.17449106]
question 196	3	3	1	[0.07890592 0.09020047 0.01293342 0.79291415 0.02504609]
question 197	1	1	1	[1.5109326e-04 9.9812192e-01 1.0129575e-04 1.4824916e-03 1.4311077e-04]
question 198	2	4	0	[0.05795582 0.0948536  0.03201482 0.0136228  0.8015529 ]
question 199	3	3	1	[0.00111942 0.0655945  0.01435286 0.79147315 0.12746   ]
question 200	1	1	1	[6.6085672e-04 8.1100130e-01 1.7017278e-01 1.7755397e-02 4.0960102e-04]
question 201	2	2	1	[0.00845702 0.13986953 0.6951276  0.14013934 0.01640647]
question 202	2	2	1	[5.2488591e-03 1.2871085e-02 9.7904336e-01 9.5666759e-04 1.8799888e-03]
question 203	3	0	0	[0.5655883  0.01553775 0.0422131  0.25908574 0.11757515]
question 204	0	0	1	[0.5826891  0.02855907 0.34493634 0.03806341 0.00575208]
question 205	1	1	1	[0.00815364 0.9363185  0.04354707 0.00726607 0.00471464]
question 206	1	1	1	[0.01317517 0.7104192  0.006483   0.15363964 0.11628309]
question 207	0	0	1	[0.8838484  0.02452953 0.01208547 0.06880423 0.01073232]
question 208	3	3	1	[0.00252132 0.01152611 0.04668551 0.6162584  0.32300866]
question 209	2	1	0	[0.00765686 0.5731822  0.06806668 0.34523705 0.00585717]
question 210	2	2	1	[0.03353357 0.05640415 0.6584481  0.07987739 0.17173673]
question 211	0	0	1	[9.8008007e-01 1.5475036e-04 2.1604027e-04 1.1903794e-02 7.6452550e-03]
question 212	2	2	1	[0.00764572 0.10147867 0.87855875 0.00900142 0.00331539]
question 213	2	0	0	[0.40033513 0.03583207 0.08592661 0.36886883 0.10903736]
question 214	2	2	1	[0.3013008  0.01126972 0.6451075  0.00246267 0.03985925]
question 215	0	2	0	[1.2304334e-03 6.2346051e-04 9.4569546e-01 3.1351775e-04 5.2137043e-02]
question 216	0	0	1	[0.65248716 0.11352455 0.02036433 0.03564851 0.17797546]
question 217	0	0	1	[0.94796634 0.01055554 0.01738987 0.01070365 0.01338464]
question 218	0	0	1	[0.4713557  0.04383835 0.27971274 0.19035874 0.01473443]
question 219	1	1	1	[3.1369335e-03 9.8894614e-01 4.8317312e-04 7.2461045e-03 1.8757593e-04]
question 220	2	4	0	[0.10792975 0.03988091 0.24961944 0.06949162 0.5330783 ]
question 221	0	2	0	[0.34125    0.10595598 0.49037036 0.00504786 0.0573758 ]
question 222	1	0	0	[0.46122465 0.17443575 0.33679286 0.00174809 0.0257987 ]
question 223	4	4	1	[2.2054308e-03 5.8105716e-04 8.4797721e-03 3.5630904e-02 9.5310283e-01]
question 224	2	2	1	[3.97346375e-05 1.03858074e-04 9.87452924e-01 5.65936207e-05 1.23469057e-02]
question 225	4	4	1	[0.07136863 0.00594378 0.24045523 0.06699313 0.61523926]
question 226	0	0	1	[9.9994576e-01 5.0477479e-06 8.6000300e-06 9.5435271e-06 3.1059521e-05]
question 227	1	1	1	[3.8675323e-02 9.5751524e-01 2.0551684e-03 1.1224360e-03 6.3190702e-04]
question 228	1	3	0	[0.0388993  0.06893472 0.09657846 0.7926333  0.00295421]
question 229	2	1	0	[0.01243486 0.78139794 0.05412763 0.14696877 0.00507085]
question 230	2	2	1	[0.01977142 0.00589925 0.9493498  0.00579926 0.01918032]
question 231	1	1	1	[4.2096907e-04 9.9151599e-01 6.1927561e-04 5.2857224e-04 6.9151111e-03]
question 232	4	4	1	[6.5343287e-05 2.0399671e-03 7.0229515e-05 5.8480552e-03 9.9197644e-01]
question 233	4	4	1	[3.5272242e-05 1.6093676e-05 7.3268511e-06 5.8048449e-06 9.9993551e-01]
question 234	2	2	1	[0.0356639  0.0272692  0.79740447 0.04390934 0.09575307]
question 235	4	4	1	[0.0016621 0.0011473 0.0117977 0.0028478 0.982545 ]
question 236	2	0	0	[0.81765944 0.04375034 0.02190248 0.01327702 0.10341061]
question 237	0	3	0	[0.15766245 0.07617874 0.04105999 0.7005851  0.02451367]
question 238	0	0	1	[0.78233826 0.06965689 0.0334087  0.0251062  0.08948996]
question 239	4	1	0	[0.00533501 0.8290581  0.08881824 0.04181846 0.03497025]
question 240	1	1	1	[0.00662963 0.5690256  0.31935903 0.09699485 0.00799092]
question 241	0	0	1	[0.95516384 0.00833422 0.00905165 0.01006325 0.01738714]
question 242	2	2	1	[0.02710834 0.02061723 0.6941409  0.18997356 0.06815994]
question 243	1	4	0	[0.01971091 0.35589454 0.02904962 0.00955048 0.58579445]
question 244	2	0	0	[0.35578302 0.0842509  0.25160393 0.2782873  0.03007483]
question 245	2	2	1	[0.03105218 0.21031933 0.6303089  0.09163876 0.03668086]
question 246	4	4	1	[0.11856093 0.08245467 0.16379052 0.1287075  0.5064864 ]
question 247	2	1	0	[0.13323066 0.29787657 0.2671703  0.00537789 0.2963445 ]
question 248	3	3	1	[5.5623258e-04 7.7626847e-02 3.9010071e-03 9.1694713e-01 9.6882862e-04]
question 249	0	0	1	[9.8747289e-01 6.4913486e-03 2.1029592e-03 3.5927179e-03 3.4004627e-04]
question 250	0	2	0	[0.12307982 0.06730188 0.716623   0.05112991 0.04186542]
question 251	0	0	1	[9.9370438e-01 2.3590012e-03 1.6902585e-03 9.1762538e-04 1.3286958e-03]
question 252	2	2	1	[2.0719050e-05 1.7987938e-04 9.9677533e-01 1.5937912e-03 1.4302684e-03]
question 253	0	0	1	[0.90001976 0.01759118 0.03084498 0.0293594  0.02218471]
question 254	1	1	1	[0.00508152 0.923889   0.03163749 0.03810267 0.00128926]
question 255	1	1	1	[2.5915273e-04 9.9794787e-01 1.0682230e-03 5.6794449e-04 1.5686541e-04]
question 256	1	1	1	[0.00167499 0.9778692  0.00997994 0.00397913 0.00649673]
question 257	0	0	1	[9.1180027e-01 4.8437502e-02 3.4164474e-05 6.8076188e-04 3.9047450e-02]
question 258	0	0	1	[5.0761330e-01 6.3030981e-04 1.1341235e-01 1.3975955e-04 3.7820435e-01]
question 259	1	1	1	[0.03288456 0.5558874  0.02467688 0.38526303 0.00128819]
question 260	0	0	1	[0.95198673 0.00262364 0.01493002 0.01780511 0.01265447]
question 261	1	1	1	[0.02980017 0.7218827  0.01051993 0.12109183 0.11670537]
question 262	4	4	1	[0.01721823 0.00719919 0.00583742 0.08132037 0.88842475]
question 263	0	0	1	[0.9749646  0.00219071 0.02030874 0.0013054  0.00123054]
question 264	2	2	1	[0.10802501 0.00356674 0.52875215 0.00453404 0.3551221 ]
question 265	0	0	1	[0.8728037  0.01339725 0.02346287 0.05145331 0.03888296]
question 266	3	2	0	[0.02511665 0.01935242 0.49402472 0.44850153 0.01300463]
question 267	2	2	1	[0.06574742 0.00477756 0.8068423  0.06630166 0.05633099]
question 268	3	2	0	[0.01104673 0.00320952 0.7913705  0.15458116 0.03979203]
question 269	2	2	1	[0.00550038 0.01413258 0.84865266 0.11918301 0.01253137]
question 270	0	3	0	[0.17094386 0.24025208 0.15131287 0.43360987 0.00388135]
question 271	2	1	0	[0.07570407 0.41214675 0.37650242 0.03754684 0.09809991]
question 272	2	4	0	[0.02275971 0.01562867 0.29108137 0.03399164 0.6365386 ]
question 273	1	1	1	[0.00894227 0.4602871  0.23669267 0.13321689 0.16086102]
question 274	0	0	1	[0.8106853  0.03521091 0.01991921 0.05371894 0.08046561]
question 275	3	3	1	[0.19855422 0.02259796 0.02663237 0.73642665 0.01578882]
question 276	2	2	1	[0.05189607 0.3737785  0.5198094  0.04402182 0.01049414]
question 277	0	3	0	[0.08676132 0.05196318 0.22703142 0.46626338 0.16798078]
question 278	0	0	1	[5.7543910e-01 7.3751502e-02 3.0981060e-03 2.2958104e-04 3.4748173e-01]
question 279	3	3	1	[0.26122996 0.11267859 0.24170735 0.2779016  0.10648255]
question 280	4	4	1	[3.0730134e-05 2.3382136e-01 2.5495148e-04 1.1659523e-04 7.6577634e-01]
question 281	3	3	1	[4.2262720e-04 2.6744532e-03 1.6701702e-02 9.7783422e-01 2.3669612e-03]
question 282	4	2	0	[0.1075672  0.05217224 0.3987703  0.04525285 0.3962374 ]
question 283	4	4	1	[0.01951179 0.00735117 0.01166278 0.00530557 0.95616865]
question 284	2	2	1	[1.4769925e-03 3.7642411e-04 9.9636710e-01 6.6863606e-04 1.1108775e-03]
question 285	3	2	0	[2.4078072e-04 2.3799438e-03 4.9831158e-01 4.9831158e-01 7.5613032e-04]
question 286	3	4	0	[1.4511776e-03 2.4534113e-04 2.9751778e-04 4.6481374e-01 5.3319222e-01]
question 287	1	1	1	[0.23676728 0.582908   0.00819771 0.00809127 0.16403577]
question 288	3	3	1	[0.4248396  0.00580953 0.04966368 0.44177982 0.07790738]
question 289	0	0	1	[9.9845159e-01 1.5146450e-04 2.5449466e-04 3.6674590e-04 7.7571865e-04]
question 290	1	1	1	[0.004235   0.4139034  0.28516015 0.17735693 0.11934455]
question 291	3	3	1	[0.00366372 0.00878093 0.03166391 0.87612194 0.07976945]
question 292	3	0	0	[0.39220035 0.15302454 0.2895437  0.12732778 0.03790365]
question 293	3	1	0	[0.25615165 0.33440495 0.13151686 0.11900401 0.15892248]
question 294	4	4	1	[3.7964068e-02 4.6418022e-02 4.3689277e-05 1.3022973e-04 9.1544402e-01]
question 295	0	0	1	[0.75227815 0.07203759 0.07114161 0.0013774  0.10316524]
question 296	3	2	0	[0.09524525 0.12115914 0.45850542 0.20594306 0.11914708]
question 297	0	0	1	[0.42968145 0.34553197 0.12693237 0.04747802 0.05037621]
question 298	3	3	1	[1.1301537e-03 2.2666634e-03 8.3551375e-04 9.8264772e-01 1.3119861e-02]
