question	gold	predicted	correct	predicted probabilities
question 154	3	3	1	[0.01837897 0.01823108 0.03148901 0.8933724  0.03852848]
question 155	0	0	1	[0.970018   0.00855291 0.0061027  0.01124964 0.00407674]
question 156	3	3	1	[0.02092393 0.01702234 0.00615774 0.9511214  0.00477466]
question 157	3	3	1	[0.00363121 0.00233253 0.01123076 0.75685865 0.22594687]
question 158	0	0	1	[0.4060771  0.2798591  0.05763038 0.13219996 0.12423348]
question 159	2	2	1	[0.20869981 0.08749442 0.5837381  0.05761044 0.0624572 ]
question 160	3	3	1	[3.8213734e-02 3.7744761e-02 6.2911998e-04 8.8615084e-01 3.7261486e-02]
question 161	3	3	1	[2.0844131e-03 1.3380334e-02 7.0493505e-03 9.7743827e-01 4.7701313e-05]
question 162	0	0	1	[0.62843066 0.09616602 0.08909209 0.13390924 0.05240202]
question 163	3	3	1	[0.30887762 0.13097876 0.00751084 0.5461537  0.00647901]
question 164	1	1	1	[0.01847356 0.70214236 0.02741403 0.07156905 0.18040092]
question 165	3	3	1	[0.07858004 0.15092617 0.11065471 0.36384627 0.2959928 ]
question 166	0	0	1	[0.70203865 0.01118839 0.08448765 0.0095009  0.19278435]
question 167	1	1	1	[0.02992043 0.913458   0.0072489  0.03499828 0.01437441]
question 168	2	2	1	[0.2416657  0.0053062  0.29254815 0.20241696 0.258063  ]
question 169	2	2	1	[0.00300783 0.00376057 0.9887841  0.0021629  0.00228458]
question 170	2	2	1	[0.09030925 0.13645959 0.74107623 0.0271911  0.0049638 ]
question 171	0	0	1	[0.83299047 0.00704774 0.07393003 0.03686904 0.04916273]
question 172	1	1	1	[0.01888393 0.8223147  0.0430507  0.05726304 0.05848775]
question 173	2	2	1	[0.12811707 0.05811006 0.72016    0.0473216  0.04629133]
question 174	0	0	1	[0.9470749  0.00324404 0.01159043 0.0311908  0.00689979]
question 175	1	1	1	[0.01208569 0.9298637  0.00273574 0.04707459 0.00824038]
question 176	0	0	1	[0.7407951  0.02816861 0.02681241 0.19219473 0.01202917]
question 177	2	2	1	[0.04812479 0.00959113 0.76556206 0.02034448 0.15637754]
question 178	0	0	1	[9.1436225e-01 6.7774013e-02 9.1085513e-04 6.1789533e-04 1.6335011e-02]
question 179	3	3	1	[0.03017049 0.03788647 0.02746586 0.86068606 0.04379104]
question 180	4	4	1	[0.01132264 0.21045616 0.00239592 0.07342307 0.70240223]
question 181	4	4	1	[0.04361539 0.14814316 0.25281453 0.17575942 0.37966752]
question 182	1	0	0	[0.49132666 0.17052746 0.1457364  0.13766347 0.05474605]
question 183	4	4	1	[0.0257994  0.23455983 0.02323748 0.06364515 0.6527581 ]
question 184	1	1	1	[2.6445994e-05 9.9988306e-01 1.4802678e-05 2.5474907e-05 5.0231789e-05]
question 185	0	0	1	[0.90445155 0.02297623 0.0212457  0.00631876 0.04500778]
question 186	2	2	1	[0.02201802 0.2745692  0.5981518  0.01992453 0.08533647]
question 187	4	4	1	[0.09430232 0.12060749 0.04285563 0.03999286 0.7022418 ]
question 188	2	2	1	[0.09919035 0.18630597 0.6660507  0.03863455 0.0098184 ]
question 189	1	1	1	[0.1129676  0.8052294  0.02962459 0.01456597 0.0376125 ]
question 190	4	4	1	[0.09223384 0.07517678 0.06658133 0.07318313 0.6928249 ]
question 191	1	1	1	[0.0165456  0.9684411  0.00175115 0.0095744  0.00368778]
question 192	4	4	1	[0.05540021 0.0326998  0.29957747 0.07435106 0.5379715 ]
question 193	3	3	1	[0.00368954 0.01784595 0.00322353 0.90670973 0.06853124]
question 194	4	4	1	[0.08294675 0.06722227 0.05941986 0.26050365 0.5299075 ]
question 195	3	3	1	[0.23272873 0.08326723 0.04223515 0.4986077  0.14316115]
question 196	3	3	1	[0.1872006  0.08111105 0.01756238 0.6754199  0.03870608]
question 197	1	1	1	[0.0078374  0.9540185  0.00363126 0.02855784 0.00595505]
question 198	2	2	1	[0.11091447 0.0916514  0.42091957 0.03590426 0.34061033]
question 199	3	3	1	[0.00576853 0.19796431 0.02894816 0.57057494 0.196744  ]
question 200	1	1	1	[0.00321426 0.96544915 0.01688429 0.00350542 0.01094691]
question 201	2	2	1	[0.02714312 0.23297204 0.55941975 0.14701432 0.03345079]
question 202	2	2	1	[0.01187937 0.01893587 0.9334396  0.01480113 0.02094403]
question 203	3	3	1	[0.05722833 0.08896811 0.09608546 0.7302444  0.02747373]
question 204	0	0	1	[0.77494943 0.01966084 0.04626628 0.15060487 0.00851865]
question 205	1	1	1	[0.02103436 0.9481549  0.02612127 0.00130136 0.003388  ]
question 206	1	4	0	[0.01134915 0.3081299  0.02994289 0.05818626 0.5923918 ]
question 207	0	0	1	[0.80295575 0.05397694 0.02846562 0.08351529 0.03108633]
question 208	3	4	0	[0.00530372 0.00680588 0.02423602 0.39983687 0.5638175 ]
question 209	2	3	0	[0.01121294 0.3504817  0.1907209  0.43628225 0.0113023 ]
question 210	2	2	1	[0.0170154  0.01434469 0.88380915 0.01709966 0.06773116]
question 211	0	0	1	[0.94391114 0.00208136 0.00358576 0.03206959 0.01835217]
question 212	2	1	0	[0.12006172 0.3833048  0.36210692 0.09649954 0.038027  ]
question 213	2	2	1	[0.27490672 0.04960557 0.28307235 0.21029086 0.18212447]
question 214	2	2	1	[0.06175406 0.00711288 0.903674   0.00379496 0.02366402]
question 215	0	4	0	[0.05322296 0.0361484  0.4099441  0.01749967 0.4831849 ]
question 216	0	0	1	[0.5423009  0.3077014  0.0491518  0.06232194 0.03852397]
question 217	0	0	1	[0.7288692  0.06167139 0.0720977  0.08025957 0.0571022 ]
question 218	0	0	1	[0.97210395 0.0012862  0.02003854 0.00400348 0.00256791]
question 219	1	1	1	[4.2090975e-03 9.9150193e-01 6.7262811e-04 2.0204764e-03 1.5958564e-03]
question 220	2	4	0	[0.01127346 0.0262985  0.24071634 0.01371231 0.7079994 ]
question 221	0	1	0	[0.32396    0.5854598  0.07609518 0.00357545 0.01090959]
question 222	1	0	0	[0.6133922  0.08558264 0.17018332 0.00556867 0.12527323]
question 223	4	4	1	[0.0163213  0.02113235 0.02133416 0.15436843 0.78684384]
question 224	2	2	1	[0.00115124 0.00214296 0.87693983 0.00176392 0.11800209]
question 225	4	4	1	[0.12308674 0.00648564 0.16105735 0.011256   0.69811434]
question 226	0	0	1	[9.9942446e-01 1.0833946e-04 1.0868863e-04 2.0664165e-04 1.5207156e-04]
question 227	1	1	1	[0.16238485 0.7920843  0.03769941 0.0059946  0.00183687]
question 228	1	3	0	[0.0618627  0.04191494 0.01601955 0.8714882  0.00871469]
question 229	2	1	0	[0.03779171 0.81395304 0.04240671 0.10105349 0.00479511]
question 230	2	2	1	[0.01998998 0.01201015 0.95025843 0.00922199 0.00851945]
question 231	1	1	1	[8.4310159e-04 9.9661958e-01 6.4585468e-04 4.0301817e-04 1.4885679e-03]
question 232	4	4	1	[3.8100305e-04 4.3530739e-03 3.8920745e-04 1.5913948e-03 9.9328530e-01]
question 233	4	4	1	[4.2669981e-04 2.4544857e-05 1.6346221e-05 1.7638158e-05 9.9951482e-01]
question 234	2	2	1	[0.04224712 0.02454281 0.8760296  0.04369907 0.01348137]
question 235	4	4	1	[0.0027293  0.00388134 0.02922112 0.08816974 0.8759985 ]
question 236	2	0	0	[0.39944863 0.1561017  0.22757532 0.06789041 0.14898388]
question 237	0	0	1	[0.74353206 0.12722348 0.03562749 0.06748091 0.02613607]
question 238	0	0	1	[0.3919126  0.31071597 0.13805182 0.05788701 0.10143264]
question 239	4	3	0	[0.14708163 0.1768012  0.1858447  0.31486422 0.17540824]
question 240	1	1	1	[0.01188135 0.7750377  0.11807887 0.08813038 0.00687166]
question 241	0	4	0	[0.35154092 0.0576604  0.06250878 0.07374419 0.45454568]
question 242	2	3	0	[0.03635503 0.03402728 0.39652017 0.42229465 0.11080292]
question 243	1	4	0	[0.01867225 0.07438157 0.01316269 0.01401251 0.87977105]
question 244	2	0	0	[0.64576423 0.00744647 0.3190741  0.0082711  0.01944414]
question 245	2	2	1	[0.0547615  0.20288779 0.59972686 0.10383545 0.03878836]
question 246	4	4	1	[0.09751054 0.05267436 0.07831127 0.10885803 0.6626458 ]
question 247	2	2	1	[0.03404715 0.01048954 0.8185688  0.00942931 0.12746514]
question 248	3	3	1	[0.00110682 0.03958784 0.0025355  0.95144826 0.00532158]
question 249	0	0	1	[0.8574003  0.10696854 0.00229705 0.02941173 0.00392236]
question 250	0	2	0	[0.38627282 0.02250079 0.5316464  0.04202976 0.01755026]
question 251	0	0	1	[0.9350402  0.04282269 0.00211152 0.01244869 0.007577  ]
question 252	2	2	1	[3.3720752e-04 4.2410069e-03 9.9475139e-01 1.8897218e-04 4.8147066e-04]
question 253	0	0	1	[0.7086353  0.06702477 0.05833796 0.06948858 0.09651341]
question 254	1	1	1	[0.08939876 0.6828483  0.08656324 0.13428722 0.00690253]
question 255	1	1	1	[0.00517325 0.96750176 0.01034262 0.00453266 0.01244976]
question 256	1	1	1	[0.01915833 0.8524448  0.01175773 0.0376948  0.07894436]
question 257	0	0	1	[0.6379448  0.15018335 0.00409243 0.03212276 0.17565665]
question 258	0	0	1	[0.409918   0.00896695 0.19120708 0.0065629  0.38334507]
question 259	1	1	1	[3.7239790e-02 7.7884549e-01 2.5151558e-02 1.5842725e-01 3.3591985e-04]
question 260	0	0	1	[0.6639512  0.01449574 0.15467063 0.15395224 0.01293009]
question 261	1	1	1	[0.00601309 0.92708    0.00270744 0.03618616 0.02801331]
question 262	4	4	1	[0.17175274 0.1520649  0.09651687 0.17730026 0.4023652 ]
question 263	0	0	1	[0.93945795 0.01075346 0.03174806 0.00387358 0.01416693]
question 264	2	2	1	[0.08439971 0.00264651 0.7873346  0.00297124 0.12264788]
question 265	0	0	1	[0.6274366  0.08128323 0.07226103 0.05250452 0.1665147 ]
question 266	3	3	1	[0.02176769 0.04834108 0.41755947 0.5013087  0.01102307]
question 267	2	2	1	[0.2650204  0.00493961 0.5447151  0.02805167 0.15727316]
question 268	3	3	1	[0.02441106 0.03406161 0.13828298 0.48455268 0.3186917 ]
question 269	2	2	1	[0.01282484 0.04220019 0.7410847  0.18930623 0.0145841 ]
question 270	0	1	0	[0.30210653 0.37432492 0.11013725 0.1818047  0.03162666]
question 271	2	4	0	[0.18662019 0.25149968 0.20188044 0.10471872 0.25528103]
question 272	2	3	0	[0.0596086  0.05128324 0.28940874 0.5501747  0.04952464]
question 273	1	1	1	[0.00442858 0.5149649  0.26080126 0.09752814 0.12227721]
question 274	0	0	1	[0.68732274 0.04931591 0.00494135 0.05494104 0.20347899]
question 275	3	3	1	[0.03542735 0.01595615 0.01617447 0.9188142  0.01362788]
question 276	2	2	1	[0.01137012 0.23668437 0.7463734  0.00274616 0.002826  ]
question 277	0	0	1	[0.65595126 0.05704038 0.06038909 0.13430607 0.09231315]
question 278	0	0	1	[0.42732045 0.19471623 0.00818215 0.00199876 0.36778238]
question 279	3	0	0	[0.36978248 0.0821517  0.30343696 0.18329641 0.06133247]
question 280	4	4	1	[0.00070127 0.35639805 0.00382307 0.00725056 0.631827  ]
question 281	3	3	1	[0.00362261 0.0152348  0.00914214 0.9616193  0.01038109]
question 282	4	4	1	[0.01907256 0.03093642 0.37683535 0.01433253 0.5588231 ]
question 283	4	4	1	[0.0269438  0.0381363  0.16740318 0.06192905 0.7055876 ]
question 284	2	2	1	[0.01410213 0.01096071 0.9222883  0.00643804 0.04621079]
question 285	3	2	0	[6.8050729e-05 4.6403933e-04 5.9533656e-01 4.0295744e-01 1.1739435e-03]
question 286	3	4	0	[0.01050573 0.00789506 0.00659989 0.4812757  0.4937236 ]
question 287	1	1	1	[0.19132759 0.58945566 0.01511876 0.02291    0.181188  ]
question 288	3	3	1	[0.33586046 0.01628704 0.02899338 0.5893015  0.02955761]
question 289	0	0	1	[0.8873103  0.03693537 0.01130428 0.02910626 0.03534377]
question 290	1	1	1	[0.01920589 0.70166767 0.1843998  0.04231041 0.05241626]
question 291	3	3	1	[0.0106933  0.00920126 0.05412636 0.88302845 0.04295066]
question 292	3	3	1	[0.24321218 0.15570928 0.13889809 0.30951178 0.15266871]
question 293	3	3	1	[0.21742535 0.20631666 0.15901622 0.2404025  0.17683928]
question 294	4	4	1	[3.0782610e-02 4.1821327e-02 2.9319193e-04 5.6213047e-04 9.2654073e-01]
question 295	0	0	1	[0.84075516 0.03147008 0.01007668 0.0043989  0.11329906]
question 296	3	2	0	[0.13533324 0.10445682 0.4543155  0.24520867 0.06068571]
question 297	0	0	1	[0.547799   0.28965622 0.08390587 0.03198523 0.04665372]
question 298	3	3	1	[0.00156269 0.00429288 0.00160703 0.92739975 0.06513769]
question 299	4	4	1	[0.22631037 0.01575032 0.33025655 0.04996311 0.3777196 ]
question 300	1	4	0	[0.14945918 0.22149771 0.17803752 0.15064834 0.30035728]
question 301	1	3	0	[0.02354363 0.08352898 0.35290223 0.44218296 0.09784218]
question 302	3	0	0	[0.43613833 0.02262677 0.01498098 0.43267092 0.09358305]
question 303	1	1	1	[0.0826385  0.6320282  0.03104119 0.2420364  0.0122557 ]
question 304	4	4	1	[0.03523682 0.04595211 0.07015513 0.10256796 0.74608797]
question 305	1	3	0	[0.0255585  0.36584255 0.05116349 0.5138663  0.04356927]
question 306	0	0	1	[0.91473985 0.01209539 0.02279723 0.01613172 0.03423567]
question 307	2	2	1	[0.00443014 0.00635981 0.8652927  0.00510529 0.11881213]
question 308	0	0	1	[0.81335104 0.01706843 0.00479981 0.15261327 0.01216751]
question 309	3	4	0	[0.04745543 0.08182763 0.3695629  0.10623712 0.39491692]
question 310	2	2	1	[0.00806241 0.02403588 0.8856176  0.06296121 0.01932294]
question 311	3	3	1	[0.01850531 0.02863518 0.01164837 0.9227272  0.01848392]
question 312	3	3	1	[0.05278995 0.20330524 0.27863735 0.389618   0.0756494 ]
question 313	3	3	1	[0.07385666 0.03958535 0.00517861 0.8772435  0.00413587]
question 314	2	2	1	[0.002243   0.00414151 0.95294476 0.03841482 0.00225583]
question 315	1	1	1	[0.0784132  0.8695769  0.04231773 0.00576002 0.00393221]
question 316	2	1	0	[0.08004569 0.46724546 0.13830118 0.2561034  0.05830432]
question 317	0	3	0	[0.36879236 0.15756801 0.00298456 0.468177   0.00247807]
question 318	4	3	0	[0.1746302  0.22142424 0.14998725 0.28370082 0.17025746]
question 319	4	4	1	[0.0051869  0.00105546 0.00298188 0.00559078 0.985185  ]
